#      MET_(days)     MET_(hours)  Alt_J2_(km)  Alt_mer(km)  Perigee_(km)   Apogee_(km)  Latitude  Longitude  Eccentricity   TrueAnomly  Atm_Drag_(N)
      0.027777778       0.6666667     575.6073     581.8897      149.9735      599.0453  10.29249   50.40568   0.033285736  158.1777715    2.4381e-06
      0.028356481       0.6805556     579.8745     586.3275      149.9735      599.0453   8.89195   52.97012   0.033285736  161.2467596    2.2115e-06
      0.028935185       0.6944444     583.5155     590.1165      149.9735      599.0453   7.47264   55.51029   0.033285736  164.3121200    2.0263e-06
      0.029513889       0.7083333     586.5216     593.2468      149.9735      599.0453   6.03778   58.03006   0.033285736  167.3744342    1.8783e-06
      0.030092593       0.7222222     588.8858     595.7099      149.9735      599.0453   4.59048   60.53335   0.033285736  170.4342894    1.7641e-06
      0.030671296       0.7361111     590.6026     597.4992      149.9735      599.0453   3.13381   63.02410   0.033285737  173.4922770    1.6820e-06
      0.031250000       0.7500000     591.6681     598.6101      149.9735      599.0453   1.67078   65.50631   0.033285737  176.5489918    1.6310e-06
      0.031828704       0.7638889     592.0798     599.0396      149.9735      599.0453   0.20437   67.98396   0.033285737  179.6050309    1.6114e-06
      0.032407407       0.7777778     591.8368     598.7865      149.9735      599.0453  -1.26245   70.46106   0.033285737  182.6609927    1.6249e-06
      0.032986111       0.7916667     590.9396     597.8515      149.9735      599.0453  -2.72672   72.94161   0.033285737  185.7174756    1.6743e-06
      0.033564815       0.8055556     589.3902     596.2372      149.9735      599.0453  -4.18548   75.42961   0.033285737  188.7750770    1.7645e-06
      0.034143519       0.8194444     587.1924     593.9477      149.9735      599.0453  -5.63572   77.92904   0.033285737  191.8343924    1.9022e-06
      0.034722222       0.8333333     584.3511     590.9892      149.9735      599.0453  -7.07438   80.44387   0.033285737  194.8960145    2.0968e-06
      0.035300926       0.8472222     580.8730     587.3696      149.9735      599.0453  -8.49837   82.97802   0.033285737  197.9605313    2.3606e-06
      0.035879630       0.8611111     576.7663     583.0984      149.9735      599.0453  -9.90450   85.53538   0.033285738  201.0285261    2.7094e-06
      0.036458333       0.8750000     572.0407     578.1873      149.9735      599.0453 -11.28949   88.11978   0.033285738  204.1005755    3.1632e-06
      0.037037037       0.8888889     566.7073     572.6493      149.9734      599.0453 -12.64999   90.73494   0.033285738  207.1772487    3.7468e-06
      0.037615741       0.9027778     560.7788     566.4995      149.9734      599.0453 -13.98250   93.38451   0.033285738  210.2591062    4.4912e-06
      0.038194444       0.9166667     554.2697     559.7546      149.9734      599.0453 -15.28342   96.07196   0.033285739  213.3466985    5.4345e-06
      0.038773148       0.9305556     547.1956     552.4331      149.9734      599.0453 -16.54904   98.80063   0.033285739  216.4405650    6.6244e-06
      0.039351852       0.9444444     539.5739     544.5550      149.9734      599.0453 -17.77550  101.57360   0.033285739  219.5412327    8.1209e-06
      0.039930556       0.9583333     531.4237     536.1423      149.9734      599.0453 -18.95880  104.39372   0.033285740  222.6492147    1.0000e-05
      0.040509259       0.9722222     522.7652     527.2183      149.9734      599.0453 -20.09486  107.26348   0.033285740  225.7650091    1.2360e-05
      0.041087963       0.9861111     513.6206     517.8083      149.9734      599.0453 -21.17945  110.18501   0.033285741  228.8890973    1.5328e-05
      0.041666667       1.0000000     504.0134     507.9388      149.9734      599.0453 -22.20825  113.16000   0.033285741  232.0219427    1.9068e-05
      0.042245370       1.0138889     493.9686     497.6382      149.9734      599.0453 -23.17687  116.18960   0.033285742  235.1639893    2.3795e-05
      0.042824074       1.0277778     483.5130     486.9361      149.9734      599.0453 -24.08088  119.27439   0.033285743  238.3156600    2.9791e-05
      0.043402778       1.0416667     472.6745     475.8637      149.9733      599.0453 -24.91583  122.41427   0.033285744  241.4773551    3.7425e-05
      0.043981481       1.0555556     461.4828     464.4535      149.9733      599.0452 -25.67732  125.60846   0.033285745  244.6494505    4.7182e-05
      0.044560185       1.0694444     449.9690     452.7396      149.9733      599.0452 -26.36102  128.85540   0.033285747  247.8322965    5.9701e-05
      0.045138889       1.0833333     438.1656     440.7570      149.9732      599.0452 -26.96275  132.15270   0.033285748  251.0262157    7.5839e-05
      0.045717593       1.0972222     426.1065     428.5420      149.9732      599.0452 -27.47854  135.49718   0.033285750  254.2315015    9.6699e-05
      0.046296296       1.1111111     413.8270     416.1322      149.9731      599.0451 -27.90468  138.88485   0.033285751  257.4484164    1.2378e-04
      0.046875000       1.1250000     401.3635     403.5660      149.9731      599.0451 -28.23783  142.31092   0.033285753  260.6771903    1.5908e-04
      0.047453704       1.1388889     388.7540     390.8828      149.9730      599.0450 -28.47502  145.76991   0.033285754  263.9180187    2.0570e-04
      0.048032407       1.1527778     376.0372     378.1228      149.9729      599.0449 -28.61378  149.25570   0.033285755  267.1710613    2.6663e-04
      0.048611111       1.1666667     363.2533     365.3269      149.9727      599.0448 -28.65215  152.76169   0.033285755  270.4364401    3.4705e-04
      0.049189815       1.1805556     350.4431     352.5366      149.9726      599.0446 -28.58875  156.28093   0.033285753  273.7142377    4.5360e-04
      0.049768519       1.1944444     337.6486     339.7939      149.9724      599.0443 -28.42280  159.80626   0.033285748  277.0044959    5.9529e-04
      0.050347222       1.2083333     324.9123     327.1410      149.9721      599.0439 -28.15415  163.33055   0.033285740  280.3072142    7.8426e-04
      0.050925926       1.2222222     312.2775     314.6203      149.9718      599.0434 -27.78329  166.84680   0.033285726  283.6223480    1.0369e-03
      0.051504630       1.2361111     299.7878     302.2745      149.9715      599.0427 -27.31133  170.34837   0.033285702  286.9498077    1.3750e-03
      0.052083333       1.2500000     287.4872     290.1457      149.9710      599.0417 -26.73997  173.82907   0.033285665  290.2894569    1.8276e-03
      0.052662037       1.2638889     275.4197     278.2761      149.9705      599.0403 -26.07151  177.28337   0.033285609  293.6411116    2.4328e-03
      0.053240741       1.2777778     263.6296     266.7073      149.9698      599.0384 -25.30874 -179.29358   0.033285523  297.0045390    3.2399e-03
      0.053819444       1.2916667     252.1605     255.4802      149.9690      599.0357 -24.45496 -175.90581   0.033285397  300.3794570    4.3117e-03
      0.054398148       1.3055556     241.0558     244.6350      149.9680      599.0321 -23.51386 -172.55652   0.033285213  303.7655335    5.7277e-03
      0.054976852       1.3194444     230.3582     234.2109      149.9669      599.0272 -22.48951 -169.24807   0.033284947  307.1623869    7.5866e-03
      0.055555556       1.3333333     220.1095     224.2459      149.9655      599.0205 -21.38628 -165.98196   0.033284570  310.5695863    1.0010e-02
      0.056134259       1.3472222     210.3503     214.7767      149.9639      599.0114 -20.20880 -162.75888   0.033284040  313.9866530    1.3147e-02
      0.056712963       1.3611111     201.1200     205.8385      149.9622      598.9993 -18.96189 -159.57876   0.033283305  317.4130627    1.7177e-02
      0.057291667       1.3750000     192.4560     197.4645      149.9602      598.9831 -17.65053 -156.44083   0.033282297  320.8482483    2.2314e-02
      0.057870370       1.3888889     184.3944     189.6865      149.9580      598.9617 -16.27982 -153.34366   0.033280932  324.2916048    2.8804e-02
      0.058449074       1.4027778     176.9688     182.5339      149.9557      598.9338 -14.85495 -150.28527   0.033279105  327.7424951    3.6921e-02
      0.059027778       1.4166667     170.2106     176.0341      149.9533      598.8975 -13.38115 -147.26317   0.033276690  331.2002593    4.6938e-02
      0.059606481       1.4305556     164.1487     170.2119      149.9510      598.8510 -11.86369 -144.27444   0.033273542  334.6642260    5.9078e-02
      0.060185185       1.4444444     158.8092     165.0899      149.9487      598.7922 -10.30786 -141.31579   0.033269501  338.1337262    7.3430e-02
      0.060763889       1.4583333     154.2153     160.6878      149.9466      598.7190  -8.71897 -138.38364   0.033264412  341.6081099    8.9815e-02
      0.061342593       1.4722222     150.3870     157.0228      149.9449      598.6297  -7.10230 -135.47413   0.033258145  345.0867592    1.0763e-01
      0.061921296       1.4861111     147.3412     154.1089      149.9437      598.5235  -5.46313 -132.58322   0.033250632  348.5690937    1.2578e-01
      0.062500000       1.5000000     145.0910     151.9575      149.9429      598.4011  -3.80675 -129.70671   0.033241920  352.0545649    1.4231e-01
      0.063078704       1.5138889     143.6465     150.5769      149.9425      598.2651  -2.13841 -126.84028   0.033232202  355.5426217    1.5509e-01
      0.063657407       1.5277778     143.0137     149.9723      149.9424      598.1202  -0.46338 -123.97954   0.033221828  359.0326590    1.6205e-01
      0.064236111       1.5416667     143.1953     150.1457      149.9424      597.9728   1.21310 -121.12004   0.033211264    2.5239647    1.6186e-01
      0.064814815       1.5555556     144.1901     151.0964      149.9422      597.8297   2.88576 -118.25734   0.033201022    6.0156857    1.5446e-01
      0.065393519       1.5694444     145.9936     152.8202      149.9417      597.6971   4.54937 -115.38700   0.033191555    9.5068366    1.4110e-01
      0.065972222       1.5833333     148.5974     155.3101      149.9407      597.5793   6.19866 -112.50467   0.033183189   12.9963463    1.2390e-01
      0.066550926       1.5972222     151.9898     158.5563      149.9393      597.4787   7.82836 -109.60606   0.033176088   16.4831232    1.0504e-01
      0.067129630       1.6111111     156.1555     162.5456      149.9375      597.3955   9.43320 -106.68704   0.033170267   19.9661152    8.6570e-02
      0.067708333       1.6250000     161.0760     167.2625      149.9354      597.3286  11.00790 -103.74363   0.033165633   23.4443468    6.9665e-02
      0.068287037       1.6388889     166.7298     172.6884      149.9331      597.2760  12.54716 -100.77210   0.033162036   26.9169308    5.4976e-02
      0.068865741       1.6527778     173.0920     178.8021      149.9308      597.2354  14.04569  -97.76898   0.033159303   30.3830666    4.2692e-02
