#      MET_(days)     MET_(hours)  Alt_J2_(km)  Alt_mer(km)  Perigee_(km)   Apogee_(km)  Latitude  Longitude  Eccentricity   TrueAnomly  Atm_Drag_(N)
      0.122106481       2.9305556     178.5887     184.0864      149.8984      597.0173 -15.21840 -174.08351   0.033146149  326.8708848    3.4827e-02
      0.122685185       2.9444444     171.6856     177.4456      149.8960      596.9832 -13.75644 -171.05259   0.033143888  330.3269102    4.4361e-02
      0.123263889       2.9583333     165.4690     171.4739      149.8936      596.9394 -12.24950 -168.05583   0.033140931  333.7892800    5.5970e-02
      0.123842593       2.9722222     159.9658     166.1940      149.8913      596.8837 -10.70288 -165.09003   0.033137120  337.2573262    6.9787e-02
      0.124421296       2.9861111     155.1997     161.6265      149.8892      596.8142  -9.12187 -162.15167   0.033132298  340.7303961    8.5714e-02
      0.125000000       3.0000000     151.1916     157.7891      149.8874      596.7289  -7.51176 -159.23696   0.033126325  344.2078667    1.0326e-01
      0.125578704       3.0138889     147.9590     154.6966      149.8860      596.6268  -5.87784 -156.34189   0.033119114  347.6891523    1.2150e-01
      0.126157407       3.0277778     145.5161     152.3609      149.8851      596.5082  -4.22537 -153.46230   0.033110679  351.1737028    1.3862e-01
      0.126736111       3.0416667     143.8735     150.7912      149.8846      596.3751  -2.55963 -150.59390   0.033101174  354.6609767    1.5257e-01
      0.127314815       3.0555556     143.0384     149.9933      149.8845      596.2317  -0.88588 -147.73230   0.033090911  358.1503922    1.6117e-01
      0.127893519       3.0694444     143.0141     149.9701      149.8844      596.0842   0.79064 -144.87306   0.033080333    1.6412726    1.6284e-01
      0.128472222       3.0833333     143.8007     150.7215      149.8843      595.9392   2.46468 -142.01174   0.033069948    5.1328049    1.5720e-01
      0.129050926       3.0972222     145.3944     152.2443      149.8839      595.8032   4.13098 -139.14390   0.033060233    8.6240371    1.4519e-01
      0.129629630       3.1111111     147.7877     154.5322      149.8831      595.6812   5.78430 -136.26514   0.033051551   12.1139163    1.2874e-01
      0.130208333       3.1250000     150.9698     157.5761      149.8817      595.5760   7.41937 -133.37117   0.033044107   15.6013521    1.1008e-01
      0.130787037       3.1388889     154.9264     161.3637      149.8800      595.4882   9.03092 -130.45780   0.033037953   19.0852790    9.1379e-02
      0.131365741       3.1527778     159.6399     165.8802      149.8779      595.4172  10.61367 -127.52102   0.033033017   22.5647029    7.3981e-02
      0.131944444       3.1666667     165.0896     171.1078      149.8757      595.3610  12.16233 -124.55701   0.033029161   26.0387157    5.8681e-02
      0.132523148       3.1805556     171.2515     177.0260      149.8734      595.3175  13.67160 -121.56224   0.033026214   29.5064979    4.5772e-02
      0.133101852       3.1944444     178.0990     183.6120      149.8712      595.2843  15.13622 -118.53347   0.033024006   32.9673096    3.5208e-02
      0.133680556       3.2083333     185.6028     190.8404      149.8691      595.2593  16.55090 -115.46786   0.033022380   36.4204796    2.6764e-02
      0.134259259       3.2222222     193.7312     198.6836      149.8672      595.2409  17.91043 -112.36300   0.033021200   39.8653944    2.0139e-02
      0.134837963       3.2361111     202.4500     207.1118      149.8655      595.2273  19.20963 -109.21701   0.033020357   43.3014903    1.5020e-02
      0.135416667       3.2500000     211.7234     216.0931      149.8640      595.2174  20.44343 -106.02856   0.033019763   46.7282483    1.1115e-02
      0.135995370       3.2638889     221.5135     225.5941      149.8628      595.2104  21.60686 -102.79702   0.033019350   50.1451904    8.1722e-03
      0.136574074       3.2777778     231.7810     235.5795      149.8617      595.2053  22.69515  -99.52245   0.033019067   53.5518785    5.9760e-03
      0.137152778       3.2916667     242.4852     246.0127      149.8609      595.2017  23.70370  -96.20568   0.033018875   56.9479133    4.3518e-03
      0.137731481       3.3055556     253.5844     256.8555      149.8602      595.1992  24.62819  -92.84838   0.033018747   60.3329353    3.1599e-03
      0.138310185       3.3194444     265.0362     268.0690      149.8596      595.1974  25.46462  -89.45306   0.033018662   63.7066247    2.2907e-03
      0.138888889       3.3333333     276.7973     279.6131      149.8592      595.1962  26.20935  -86.02308   0.033018607   67.0687026    1.6598e-03
      0.139467593       3.3472222     288.8241     291.4470      149.8588      595.1953  26.85919  -82.56264   0.033018572   70.4189319    1.2036e-03
      0.140046296       3.3611111     301.0729     303.5292      149.8585      595.1947  27.41141  -79.07670   0.033018550   73.7571172    8.7442e-04
      0.140625000       3.3750000     313.4999     315.8180      149.8583      595.1943  27.86383  -75.57096   0.033018536   77.0831058    6.3702e-04
      0.141203704       3.3888889     326.0615     328.2713      149.8582      595.1940  28.21485  -72.05167   0.033018528   80.3967876    4.6583e-04
      0.141782407       3.4027778     338.7143     340.8469      149.8580      595.1938  28.46346  -68.52559   0.033018524   83.6980945    3.4220e-04
      0.142361111       3.4166667     351.4156     353.5026      149.8579      595.1936  28.60931  -64.99975   0.033018522   86.9870004    2.5271e-04
      0.142939815       3.4305556     364.1232     366.1967      149.8578      595.1935  28.65264  -61.48130   0.033018521   90.2635201    1.8775e-04
      0.143518519       3.4444444     376.7958     378.8874      149.8578      595.1934  28.59436  -57.97739   0.033018521   93.5277086    1.4039e-04
      0.144097222       3.4583333     389.3928     391.5337      149.8577      595.1934  28.43595  -54.49491   0.033018521   96.7796600    1.0572e-04
      0.144675926       3.4722222     401.8747     404.0952      149.8577      595.1934  28.17947  -51.04040   0.033018522  100.0195058    8.0212e-05
      0.145254630       3.4861111     414.2032     416.5321      149.8576      595.1933  27.82750  -47.61986   0.033018522  103.2474142    6.1322e-05
      0.145833333       3.5000000     426.3409     428.8053      149.8576      595.1933  27.38306  -44.23866   0.033018523  106.4635881    4.7293e-05
      0.146412037       3.5138889     438.2518     440.8770      149.8576      595.1933  26.84958  -40.90143   0.033018524  109.6682637    3.6795e-05
      0.146990741       3.5277778     449.9012     452.7102      149.8576      595.1933  26.23082  -37.61204   0.033018525  112.8617093    2.8894e-05
      0.147569444       3.5416667     461.2558     464.2689      149.8575      595.1933  25.53081  -34.37351   0.033018525  116.0442229    2.2908e-05
      0.148148148       3.5555556     472.2835     475.5185      149.8575      595.1933  24.75375  -31.18807   0.033018526  119.2161316    1.8345e-05
      0.148726852       3.5694444     482.9538     486.4257      149.8575      595.1933  23.90399  -28.05712   0.033018526  122.3777890    1.4843e-05
      0.149305556       3.5833333     493.2376     496.9583      149.8575      595.1933  22.98596  -24.98132   0.033018527  125.5295742    1.2135e-05
      0.149884259       3.5972222     503.1074     507.0856      149.8575      595.1933  22.00410  -21.96063   0.033018527  128.6718901    1.0024e-05
      0.150462963       3.6111111     512.5370     516.7786      149.8575      595.1933  20.96285  -18.99436   0.033018528  131.8051615    8.3648e-06
      0.151041667       3.6250000     521.5019     526.0093      149.8575      595.1933  19.86660  -16.08123   0.033018528  134.9298342    7.0496e-06
      0.151620370       3.6388889     529.9790     534.7518      149.8575      595.1933  18.71964  -13.21948   0.033018528  138.0463727    5.9975e-06
      0.152199074       3.6527778     537.9468     542.9813      149.8575      595.1933  17.52619  -10.40690   0.033018528  141.1552593    5.1484e-06
      0.152777778       3.6666667     545.3853     550.6748      149.8575      595.1933  16.29032   -7.64091   0.033018529  144.2569926    4.4572e-06
      0.153356481       3.6805556     552.2762     557.8112      149.8575      595.1933  15.01601   -4.91862   0.033018529  147.3520858    3.8904e-06
      0.153935185       3.6944444     558.6025     564.3706      149.8575      595.1933  13.70709   -2.23687   0.033018529  150.4410656    3.4227e-06
      0.154513889       3.7083333     564.3488     570.3352      149.8575      595.1933  12.36727    0.40769   0.033018529  153.5244711    3.0353e-06
      0.155092593       3.7222222     569.5014     575.6887      149.8575      595.1933  11.00013    3.01859   0.033018529  156.6028518    2.7141e-06
      0.155671296       3.7361111     574.0479     580.4166      149.8575      595.1933   9.60915    5.59948   0.033018530  159.6767671    2.4486e-06
      0.156250000       3.7500000     577.9776     584.5061      149.8575      595.1933   8.19768    8.15414   0.033018530  162.7467850    2.2309e-06
      0.156828704       3.7638889     581.2812     587.9464      149.8575      595.1933   6.76898   10.68640   0.033018530  165.8134803    2.0553e-06
      0.157407407       3.7777778     583.9509     590.7281      149.8575      595.1933   5.32623   13.20016   0.033018530  168.8774343    1.9177e-06
      0.157986111       3.7916667     585.9806     592.8438      149.8575      595.1933   3.87253   15.69937   0.033018530  171.9392331    1.8152e-06
      0.158564815       3.8055556     587.3656     594.2880      149.8575      595.1933   2.41093   18.18800   0.033018530  174.9994667    1.7464e-06
      0.159143519       3.8194444     588.1025     595.0567      149.8575      595.1933   0.94443   20.67006   0.033018530  178.0587280    1.7108e-06
      0.159722222       3.8333333     588.1898     595.1480      149.8575      595.1933  -0.52397   23.14953   0.033018530  181.1176115    1.7094e-06
      0.160300926       3.8472222     587.6272     594.5616      149.8575      595.1933  -1.99132   25.63045   0.033018531  184.1767125    1.7445e-06
      0.160879630       3.8611111     586.4160     593.2990      149.8575      595.1933  -3.45464   28.11680   0.033018531  187.2366259    1.8202e-06
      0.161458333       3.8750000     584.5591     591.3636      149.8575      595.1933  -4.91092   30.61260   0.033018531  190.2979450    1.9428e-06
      0.162037037       3.8888889     582.0607     588.7605      149.8575      595.1933  -6.35714   33.12183   0.033018531  193.3612607    2.1208e-06
      0.162615741       3.9027778     578.9267     585.4968      149.8575      595.1933  -7.79021   35.64843   0.033018531  196.4271603    2.3657e-06
      0.163194444       3.9166667     575.1643     581.5810      149.8575      595.1933  -9.20697   38.19633   0.033018531  199.4962265    2.6925e-06
      0.163773148       3.9305556     570.7826     577.0238      149.8575      595.1933 -10.60419   40.76939   0.033018531  202.5690360    3.1202e-06
      0.164351852       3.9444444     565.7917     571.8374      149.8574      595.1933 -11.97854   43.37139   0.033018532  205.6461587    3.6724e-06
      0.164930556       3.9583333     560.2037     566.0359      149.8574      595.1933 -13.32657   46.00603   0.033018532  208.7281562    4.3785e-06
      0.165509259       3.9722222     554.0319     559.6349      149.8574      595.1933 -14.64475   48.67687   0.033018532  211.8155811    5.2745e-06
      0.166087963       3.9861111     547.2912     552.6521      149.8574      595.1933 -15.92940   51.38733   0.033018532  214.9089752    6.4048e-06
      0.166666667       4.0000000     539.9982     545.1065      149.8574      595.1933 -17.17671   54.14062   0.033018533  218.0088687    7.8249e-06
      0.167245370       4.0138889     532.1709     537.0191      149.8574      595.1933 -18.38276   56.93971   0.033018533  221.1157784    9.6044e-06
      0.167824074       4.0277778     523.8289     528.4125      149.8574      595.1933 -19.54350   59.78728   0.033018534  224.2302070    1.1831e-05
      0.168402778       4.0416667     514.9932     519.3107      149.8574      595.1933 -20.65474   62.68564   0.033018534  227.3526412    1.4620e-05
      0.168981481       4.0555556     505.6864     509.7395      149.8574      595.1933 -21.71221   65.63671   0.033018535  230.4835505    1.8115e-05
      0.169560185       4.0694444     495.9328     499.7263      149.8574      595.1933 -22.71155   68.64190   0.033018536  233.6233855    2.2508e-05
      0.170138889       4.0833333     485.7579     489.2999      149.8574      595.1932 -23.64833   71.70207   0.033018537  236.7725768    2.8047e-05
      0.170717593       4.0972222     475.1891     478.4905      149.8573      595.1932 -24.51810   74.81746   0.033018538  239.9315330    3.5055e-05
      0.171296296       4.1111111     464.2550     467.3298      149.8573      595.1932 -25.31643   77.98763   0.033018539  243.1006395    4.3957e-05
      0.171875000       4.1250000     452.9856     455.8510      149.8573      595.1932 -26.03894   81.21137   0.033018540  246.2802566    5.5313e-05
      0.172453704       4.1388889     441.4127     444.0882      149.8573      595.1932 -26.68136   84.48670   0.033018542  249.4707181    6.9871e-05
      0.173032407       4.1527778     429.5693     432.0772      149.8572      595.1932 -27.23963   87.81083   0.033018543  252.6723294    8.8591e-05
      0.173611111       4.1666667     417.4896     419.8545      149.8572      595.1931 -27.70989   91.18012   0.033018545  255.8853659    1.1278e-04
      0.174189815       4.1805556     405.2093     407.4579      149.8571      595.1931 -28.08861   94.59016   0.033018547  259.1100716    1.4418e-04
      0.174768519       4.1944444     392.7654     394.9261      149.8570      595.1930 -28.37265   98.03578   0.033018548  262.3466569    1.8552e-04
      0.175347222       4.2083333     380.1960     382.2986      149.8569      595.1929 -28.55929  101.51114   0.033018549  265.5952973    2.3936e-04
      0.175925926       4.2222222     367.5404     369.6158      149.8568      595.1928 -28.64633  105.00985   0.033018549  268.8561317    3.1023e-04
      0.176504630       4.2361111     354.8387     356.9186      149.8566      595.1926 -28.63209  108.52510   0.033018548  272.1292607    4.0393e-04
      0.177083333       4.2500000     342.1320     344.2484      149.8565      595.1924 -28.51553  112.04979   0.033018545  275.4147451    5.2830e-04
      0.177662037       4.2638889     329.4625     331.6471      149.8562      595.1921 -28.29620  115.57675   0.033018539  278.7126040    6.9395e-04
      0.178240741       4.2777778     316.8726     319.1567      149.8560      595.1916 -27.97428  119.09889   0.033018528  282.0228140    9.1523e-04
      0.178819444       4.2916667     304.4055     306.8194      149.8556      595.1910 -27.55060  122.60938   0.033018509  285.3453069    1.2113e-03
      0.179398148       4.3055556     292.1048     294.6774      149.8552      595.1901 -27.02659  126.10177   0.033018479  288.6799692    1.6079e-03
      0.179976852       4.3194444     280.0142     282.7725      149.8547      595.1889 -26.40428  129.57023   0.033018433  292.0266403    2.1387e-03
      0.180555556       4.3333333     268.1776     271.1463      149.8541      595.1873 -25.68623  133.00955   0.033018362  295.3851117    2.8477e-03
      0.181134259       4.3472222     256.6385     259.8397      149.8533      595.1850 -24.87552  136.41531   0.033018256  298.7551260    3.7913e-03
      0.181712963       4.3611111     245.4402     248.8930      149.8524      595.1819 -23.97567  139.78390   0.033018101  302.1363766    5.0411e-03
      0.182291667       4.3750000     234.6255     238.3456      149.8514      595.1776 -22.99058  143.11259   0.033017876  305.5285074    6.6866e-03
      0.182870370       4.3888889     224.2363     228.2357      149.8501      595.1718 -21.92448  146.39945   0.033017554  308.9311129    8.8387e-03
      0.183449074       4.4027778     214.3135     218.6005      149.8486      595.1639 -20.78191  149.64343   0.033017100  312.3437399    1.1633e-02
      0.184027778       4.4166667     204.8969     209.4754      149.8469      595.1532 -19.56759  152.84424   0.033016466  315.7658883    1.5234e-02
      0.184606481       4.4305556     196.0245     200.8946      149.8450      595.1390 -18.28643  156.00233   0.033015592  319.1970145    1.9838e-02
      0.185185185       4.4444444     187.7329     192.8902      149.8430      595.1202 -16.94350  159.11883   0.033014403  322.6365346    2.5678e-02
      0.185763889       4.4583333     180.0565     185.4925      149.8407      595.0955 -15.54394  162.19548   0.033012802  326.0838305    3.3015e-02
      0.186342593       4.4722222     173.0278     178.7296      149.8383      595.0632 -14.09296  165.23453   0.033010674  329.5382568    4.2124e-02
      0.186921296       4.4861111     166.6765     172.6274      149.8359      595.0217 -12.59582  168.23872   0.033007882  332.9991513    5.3261e-02
      0.187500000       4.5000000     161.0300     167.2095      149.8336      594.9689 -11.05780  171.21117   0.033004272  336.4658483    6.6590e-02
      0.188078704       4.5138889     156.1126     162.4966      149.8314      594.9026  -9.48420  174.15534   0.032999685  339.9376934    8.2076e-02
      0.188657407       4.5277778     151.9459     158.5071      149.8295      594.8209  -7.88031  177.07496   0.032993974  343.4140596    9.9336e-02
      0.189236111       4.5416667     148.5479     155.2564      149.8280      594.7226  -6.25140  179.97400   0.032987038  346.8943568    1.1756e-01
      0.189814815       4.5555556     145.9337     152.7571      149.8270      594.6074  -4.60277 -177.14341   0.032978863  350.3780321    1.3510e-01
      0.190393519       4.5694444     144.1146     151.0188      149.8264      594.4772  -2.93967 -174.27300   0.032969570  353.8645504    1.4997e-01
      0.190972222       4.5833333     143.0985     150.0482      149.8262      594.3356  -1.26737 -171.41039   0.032959433  357.3533485    1.5996e-01
      0.191550926       4.5972222     142.8898     149.8487      149.8262      594.1883   0.40890 -168.55117   0.032948871    0.8437797    1.6331e-01
      0.192129630       4.6111111     143.4891     150.4211      149.8261      594.0420   2.08388 -165.69087   0.032938385    4.3350679    1.5931e-01
      0.192708333       4.6250000     144.8935     151.7627      149.8258      593.9033   3.75232 -162.82505   0.032928468    7.8262939    1.4862e-01
      0.193287037       4.6388889     147.0965     153.8680      149.8250      593.7777   5.40898 -159.94931   0.032919512   11.3164252    1.3299e-01
      0.193865741       4.6527778     150.0880     156.7286      149.8238      593.6683   7.04860 -157.05932   0.032911762   14.8043765    1.1469e-01
      0.194444444       4.6666667     153.8546     160.3330      149.8221      593.5764   8.66591 -154.15085   0.032905304   18.2890729    9.5789e-02
      0.195023148       4.6805556     158.3794     164.6669      149.8201      593.5016  10.25564 -151.21986   0.032900088   21.7695044    7.7987e-02
      0.195601852       4.6944444     163.6425     169.7134      149.8179      593.4420  11.81249 -148.26248   0.032895988   25.2447443    6.2149e-02
      0.196180556       4.7083333     169.6208     175.4526      149.8156      593.3957  13.33117 -145.27509   0.032892840   28.7139553    4.8669e-02
      0.196759259       4.7222222     176.2884     181.8624      149.8134      593.3602  14.80642 -142.25439   0.032890469   32.1763829    3.7566e-02
      0.197337963       4.7361111     183.6165     188.9180      149.8112      593.3335  16.23294 -139.19743   0.032888715   35.6313434    2.8646e-02
      0.197916667       4.7500000     191.5742     196.5924      149.8092      593.3135  17.60551 -136.10170   0.032887438   39.0782136    2.1619e-02
      0.198495370       4.7638889     200.1281     204.8564      149.8075      593.2989  18.91893 -132.96519   0.032886522   42.5164211    1.6170e-02
      0.199074074       4.7777778     209.2426     213.6788      149.8060      593.2882  20.16811 -129.78643   0.032885874   45.9454395    1.2000e-02
      0.199652778       4.7916667     218.8805     223.0265      149.8047      593.2805  21.34806 -126.56462   0.032885421   49.3647835    8.8472e-03
      0.200231481       4.8055556     229.0029     232.8650      149.8036      593.2750  22.45394 -123.29966   0.032885109   52.7740078    6.4871e-03
      0.200810185       4.8194444     239.5698     243.1578      149.8027      593.2711  23.48111 -119.99219   0.032884897   56.1727059    4.7365e-03
      0.201388889       4.8333333     250.5396     253.8676      149.8019      593.2683  24.42519 -116.64369   0.032884754   59.5605106    3.4478e-03
      0.201967593       4.8472222     261.8702     264.9555      149.8013      593.2664  25.28208 -113.25646   0.032884659   62.9370941    2.5051e-03
      0.202546296       4.8611111     273.5187     276.3819      149.8009      593.2650  26.04807 -109.83368   0.032884598   66.3021693    1.8190e-03
      0.203125000       4.8750000     285.4418     288.1063      149.8005      593.2640  26.71984 -106.37935   0.032884558   69.6554901    1.3213e-03
      0.203703704       4.8888889     297.5958     300.0876      149.8002      593.2634  27.29455 -102.89828   0.032884533   72.9968523    9.6121e-04
      0.204282407       4.9027778     309.9372     312.2841      149.7999      593.2629  27.76989  -99.39598   0.032884517   76.3260939    7.0091e-04
      0.204861111       4.9166667     322.4223     324.6541      149.7998      593.2626  28.14411  -95.87862   0.032884508   79.6430954    5.1281e-04
      0.205439815       4.9305556     335.0080     337.1554      149.7996      593.2623  28.41607  -92.35284   0.032884503   82.9477794    3.7675e-04
      0.206018519       4.9444444     347.6516     349.7462      149.7995      593.2622  28.58526  -88.82562   0.032884500   86.2401100    2.7816e-04
      0.206597222       4.9583333     360.3108     362.3845      149.7994      593.2620  28.65179  -85.30412   0.032884499   89.5200928    2.0653e-04
      0.207175926       4.9722222     372.9442     375.0290      149.7993      593.2620  28.61640  -81.79550   0.032884499   92.7877732    1.5431e-04
      0.207754630       4.9861111     385.5113     387.6385      149.7993      593.2619  28.48046  -78.30673   0.032884499   96.0432361    1.1608e-04
      0.208333333       5.0000000     397.9725     400.1725      149.7992      593.2619  28.24587  -74.84445   0.032884500   99.2866039    8.7972e-05
      0.208912037       5.0138889     410.2892     412.5912      149.7992      593.2618  27.91512  -71.41479   0.032884500  102.5180359    6.7172e-05
      0.209490741       5.0277778     422.4241     424.8557      149.7992      593.2618  27.49112  -68.02330   0.032884501  105.7377263    5.1737e-05
      0.210069444       5.0416667     434.3409     436.9279      149.7991      593.2618  26.97723  -64.67477   0.032884502  108.9459030    4.0198e-05
      0.210648148       5.0555556     446.0047     448.7705      149.7991      593.2618  26.37712  -61.37325   0.032884503  112.1428260    3.1521e-05
      0.211226852       5.0694444     457.3821     460.3478      149.7991      593.2618  25.69478  -58.12198   0.032884503  115.3287858    2.4953e-05
      0.211805556       5.0833333     468.4408     471.6247      149.7991      593.2618  24.93436  -54.92334   0.032884504  118.5041017    1.9953e-05
      0.212384259       5.0972222     479.1500     482.5678      149.7991      593.2618  24.10021  -51.77894   0.032884504  121.6691201    1.6117e-05
      0.212962963       5.1111111     489.4805     493.1447      149.7991      593.2618  23.19673  -48.68961   0.032884505  124.8242133    1.3154e-05
      0.213541667       5.1250000     499.4044     503.3246      149.7991      593.2618  22.22837  -45.65545   0.032884505  127.9697776    1.0846e-05
      0.214120370       5.1388889     508.8954     513.0780      149.7991      593.2618  21.19958  -42.67592   0.032884506  131.1062315    9.0336e-06
      0.214699074       5.1527778     517.9287     522.3770      149.7991      593.2618  20.11475  -39.74987   0.032884506  134.2340148    7.5982e-06
      0.215277778       5.1666667     526.4809     531.1951      149.7990      593.2618  18.97822  -36.87564   0.032884506  137.3535864    6.4511e-06
      0.215856481       5.1805556     534.5303     539.5073      149.7990      593.2618  17.79422  -34.05111   0.032884507  140.4654233    5.5261e-06
      0.216435185       5.1944444     542.0566     547.2905      149.7990      593.2618  16.56686  -31.27378   0.032884507  143.5700190    4.7738e-06
      0.217013889       5.2083333     549.0412     554.5230      149.7990      593.2618  15.30015  -28.54082   0.032884507  146.6678821    4.1574e-06
      0.217592593       5.2222222     555.4669     561.1849      149.7990      593.2618  13.99795  -25.84913   0.032884507  149.7595347    3.6491e-06
      0.218171296       5.2361111     561.3180     567.2578      149.7990      593.2618  12.66401  -23.19540   0.032884508  152.8455117    3.2282e-06
      0.218750000       5.2500000     566.5804     572.7252      149.7990      593.2618  11.30194  -20.57614   0.032884508  155.9263588    2.8791e-06
      0.219328704       5.2638889     571.2415     577.5723      149.7990      593.2618   9.91524  -17.98769   0.032884508  159.0026318    2.5903e-06
      0.219907407       5.2777778     575.2903     581.7859      149.7990      593.2618   8.50730  -15.42633   0.032884508  162.0748951    2.3532e-06
      0.220486111       5.2916667     578.7172     585.3547      149.7990      593.2618   7.08141  -12.88822   0.032884508  165.1437207    2.1612e-06
      0.221064815       5.3055556     581.5141     588.2691      149.7990      593.2618   5.64075  -10.36946   0.032884508  168.2096868    2.0097e-06
      0.221643519       5.3194444     583.6746     590.5214      149.7990      593.2618   4.18847   -7.86612   0.032884508  171.2733769    1.8955e-06
      0.222222222       5.3333333     585.1936     592.1055      149.7990      593.2618   2.72762   -5.37423   0.032884509  174.3353788    1.8166e-06
      0.222800926       5.3472222     586.0676     593.0173      149.7990      593.2618   1.26121   -2.88979   0.032884509  177.3962830    1.7723e-06
      0.223379630       5.3611111     586.2945     593.2542      149.7990      593.2618  -0.20774   -0.40879   0.032884509  180.4566822    1.7632e-06
      0.223958333       5.3750000     585.8739     592.8158      149.7990      593.2618  -1.67629    2.07278   0.032884509  183.5171700    1.7913e-06
      0.224537037       5.3888889     584.8067     591.7030      149.7990      593.2618  -3.14143    4.55893   0.032884509  186.5783397    1.8605e-06
      0.225115741       5.4027778     583.0954     589.9189      149.7990      593.2618  -4.60018    7.05368   0.032884509  189.6407837    1.9766e-06
      0.225694444       5.4166667     580.7440     587.4683      149.7990      593.2618  -6.04950    9.56100   0.032884509  192.7050916    2.1479e-06
      0.226273148       5.4305556     577.7579     584.3576      149.7990      593.2618  -7.48632   12.08487   0.032884509  195.7718502    2.3856e-06
      0.226851852       5.4444444     574.1441     580.5953      149.7990      593.2618  -8.90749   14.62922   0.032884510  198.8416413    2.7044e-06
      0.227430556       5.4583333     569.9112     576.1914      149.7990      593.2618 -10.30979   17.19791   0.032884510  201.9150415    3.1229e-06
      0.228009259       5.4722222     565.0691     571.1578      149.7990      593.2618 -11.68990   19.79476   0.032884510  204.9926207    3.6646e-06
      0.228587963       5.4861111     559.6293     565.5080      149.7990      593.2618 -13.04441   22.42349   0.032884510  208.0749407    4.3583e-06
      0.229166667       5.5000000     553.6050     559.2575      149.7990      593.2618 -14.36978   25.08769   0.032884510  211.1625544    5.2399e-06
      0.229745370       5.5138889     547.0106     552.4233      149.7990      593.2618 -15.66236   27.79081   0.032884511  214.2560045    6.3532e-06
      0.230324074       5.5277778     539.8623     545.0243      149.7990      593.2618 -16.91837   30.53612   0.032884511  217.3558220    7.7526e-06
      0.230902778       5.5416667     532.1778     537.0809      149.7990      593.2618 -18.13391   33.32664   0.032884512  220.4625252    9.5062e-06
      0.231481481       5.5555556     523.9761     528.6151      149.7990      593.2618 -19.30495   36.16512   0.032884512  223.5766183    1.1700e-05
      0.232060185       5.5694444     515.2779     519.6509      149.7990      593.2618 -20.42732   39.05395   0.032884513  226.6985899    1.4444e-05
      0.232638889       5.5833333     506.1056     510.2135      149.7989      593.2618 -21.49677   41.99513   0.032884513  229.8289116    1.7880e-05
      0.233217593       5.5972222     496.4828     500.3298      149.7989      593.2618 -22.50894   44.99018   0.032884514  232.9680366    2.2189e-05
      0.233796296       5.6111111     486.4349     490.0282      149.7989      593.2618 -23.45942   48.04008   0.032884515  236.1163984    2.7610e-05
      0.234375000       5.6250000     475.9886     479.3387      149.7989      593.2617 -24.34376   51.14521   0.032884516  239.2744088    3.4451e-05
      0.234953704       5.6388889     465.1721     468.2925      149.7989      593.2617 -25.15750   54.30525   0.032884517  242.4424568    4.3117e-05
      0.235532407       5.6527778     454.0154     456.9224      149.7988      593.2617 -25.89626   57.51918   0.032884519  245.6209067    5.4138e-05
      0.236111111       5.6666667     442.5494     445.2622      149.7988      593.2617 -26.55575   60.78515   0.032884520  248.8100966    6.8224e-05
      0.236689815       5.6805556     430.8068     433.3473      149.7988      593.2617 -27.13184   64.10054   0.032884522  252.0103367    8.6283e-05
      0.237268519       5.6944444     418.8216     421.2138      149.7987      593.2616 -27.62063   67.46188   0.032884523  255.2219077    1.0955e-04
      0.237847222       5.7083333     406.6290     408.8992      149.7986      593.2616 -28.01853   70.86492   0.032884525  258.4450590    1.3966e-04
      0.238425926       5.7222222     394.2656     396.4419      149.7986      593.2615 -28.32231   74.30462   0.032884526  261.6800070    1.7921e-04
      0.239004630       5.7361111     381.7692     383.8812      149.7985      593.2614 -28.52915   77.77526   0.032884528  264.9269338    2.3059e-04
      0.239583333       5.7500000     369.1786     371.2570      149.7984      593.2613 -28.63674   81.27056   0.032884528  268.1859852    2.9808e-04
      0.240162037       5.7638889     356.5336     358.6100      149.7982      593.2612 -28.64332   84.78376   0.032884528  271.4572690    3.8713e-04
      0.240740741       5.7777778     343.8752     345.9815      149.7980      593.2609 -28.54769   88.30782   0.032884525  274.7408537    5.0515e-04
      0.241319444       5.7916667     331.2449     333.4130      149.7978      593.2606 -28.34930   91.83556   0.032884520  278.0367667    6.6213e-04
      0.241898148       5.8055556     318.6851     320.9464      149.7975      593.2602 -28.04820   95.35985   0.032884509  281.3449932    8.7161e-04
      0.242476852       5.8194444     306.2387     308.6238      149.7972      593.2596 -27.64509   98.87378   0.032884492  284.6654742    1.1518e-03
      0.243055556       5.8333333     293.9490     296.4871      149.7968      593.2588 -27.14129  102.37084   0.032884465  287.9981054    1.5268e-03
      0.243634259       5.8472222     281.8597     284.5781      149.7963      593.2577 -26.53872  105.84504   0.032884422  291.3427362    2.0288e-03
      0.244212963       5.8611111     270.0143     272.9383      149.7957      593.2561 -25.83983  109.29104   0.032884356  294.6991683    2.6996e-03
      0.244791667       5.8750000     258.4563     261.6087      149.7950      593.2540 -25.04762  112.70426   0.032884258  298.0671548    3.5929e-03
      0.245370370       5.8888889     247.2290     250.6294      149.7941      593.2511 -24.16550  116.08093   0.032884114  301.4463998    4.7774e-03
      0.245949074       5.9027778     236.3751     240.0399      149.7931      593.2470 -23.19733  119.41812   0.032883905  304.8365581    6.3388e-03
      0.246527778       5.9166667     225.9366     229.8785      149.7919      593.2415 -22.14727  122.71377   0.032883604  308.2372354    8.3836e-03
      0.247106481       5.9305556     215.9544     220.1825      149.7904      593.2341 -21.01980  125.96663   0.032883179  311.6479891    1.1042e-02
