#      MET_(days)     MET_(hours)  Alt_J2_(km)  Alt_mer(km)  Perigee_(km)   Apogee_(km)  Latitude  Longitude  Eccentricity   TrueAnomly  Atm_Drag_(N)        Tn_(K)     F10.7_curr
      0.014583333       0.3500000     358.2348     352.0986      150.0000      600.0000  51.60719  -21.73958   0.033352109   86.0626872    0.0000e+00        0.0000        116.000
      0.014930556       0.3583333     365.9658     359.7833      150.0000      600.0000  51.73445  -18.70957   0.033352109   88.0312078    0.0000e+00        0.0000        116.000
      0.015277778       0.3666667     373.6750     367.4771      150.0000      600.0000  51.77683  -15.67496   0.033352109   89.9952355    0.0000e+00        0.0000        116.000
      0.015625000       0.3750000     381.3535     375.1709      150.0000      600.0000  51.73465  -12.64752   0.033352109   91.9547832    0.0000e+00        0.0000        116.000
      0.015972222       0.3833333     388.9926     382.8557      150.0000      600.0000  51.60874   -9.63886   0.033352109   93.9098686    0.0000e+00        0.0000        116.000
      0.016319444       0.3916667     396.5838     390.5227      150.0000      600.0000  51.40050   -6.66009   0.033352109   95.8605147    0.0000e+00        0.0000        116.000
      0.016666667       0.4000000     404.1187     398.1630      150.0000      600.0000  51.11183   -3.72161   0.033352109   97.8067496    0.0000e+00        0.0000        116.000
      0.017013889       0.4083333     411.5893     405.7678      150.0000      600.0000  50.74507   -0.83282   0.033352109   99.7486059    0.0000e+00        0.0000        116.000
      0.017361111       0.4166667     418.9879     413.3285      150.0000      600.0000  50.30293    1.99802   0.033352109  101.6861211    0.0000e+00        0.0000        116.000
      0.017708333       0.4250000     426.3066     420.8365      150.0000      600.0000  49.78845    4.76391   0.033352109  103.6193374    0.0000e+00        0.0000        116.000
      0.018055556       0.4333333     433.5383     428.2835      150.0000      600.0000  49.20491    7.45916   0.033352109  105.5483013    0.0000e+00        0.0000        116.000
      0.018402778       0.4416667     440.6756     435.6612      150.0000      600.0000  48.55574   10.07937   0.033352109  107.4730637    0.0000e+00        0.0000        116.000
      0.018750000       0.4500000     447.7117     442.9613      150.0000      600.0000  47.84449   12.62141   0.033352109  109.3936798    0.0000e+00        0.0000        116.000
      0.019097222       0.4583333     454.6399     450.1758      150.0000      600.0000  47.07476   15.08331   0.033352109  111.3102088    0.0000e+00        0.0000        116.000
      0.019444444       0.4666667     461.4537     457.2970      150.0000      600.0000  46.25010   17.46414   0.033352109  113.2227139    0.0000e+00        0.0000        116.000
      0.019791667       0.4750000     468.1467     464.3169      150.0000      600.0000  45.37405   19.76389   0.033352109  115.1312621    0.0000e+00        0.0000        116.000
      0.020138889       0.4833333     474.7131     471.2281      150.0000      600.0000  44.45002   21.98337   0.033352109  117.0359242    0.0000e+00        0.0000        116.000
      0.020486111       0.4916667     481.1471     478.0232      150.0000      600.0000  43.48132   24.12402   0.033352109  118.9367744    0.0000e+00        0.0000        116.000
      0.020833333       0.5000000     487.4429     484.6949      150.0000      600.0000  42.47112   26.18783   0.033352109  120.8338906    0.0000e+00        0.0000        116.000
      0.021180556       0.5083333     493.5953     491.2361      150.0000      600.0000  41.42243   28.17721   0.033352109  122.7273537    0.0000e+00        0.0000        116.000
      0.021527778       0.5166667     499.5992     497.6400      150.0000      600.0000  40.33810   30.09487   0.033352109  124.6172481    0.0000e+00        0.0000        116.000
